	Unnamed: 0	Model	Strategy	Instance	Acc	F1
391	391	DeBERTa-large	ALPS	110	0.336	0.172
392	392	RoBERTa-large	CAL	110	0.333	0.167
393	393	BERT-base	CAL	110	0.333	0.167
394	394	RoBERTa-large	BADGE	110	0.349	0.202
395	395	DeBERTa-base	CAL	110	0.333	0.167
396	396	RoBERTa-large	CAL	110	0.376	0.264
397	397	BERT-base	Entropy	110	0.333	0.167
398	398	RoBERTa-base	CAL	110	0.389	0.281
399	399	RoBERTa-base	CAL	110	0.376	0.269
400	400	RoBERTa-base	Entropy	110	0.380	0.259
401	401	BERT-large	CAL	110	0.393	0.304
402	402	DeBERTa-base	CAL	110	0.333	0.167
403	403	DeBERTa-base	CAL	110	0.333	0.167
404	404	DeBERTa-large	CAL	110	0.351	0.203
405	405	BERT-large	ALPS	110	0.329	0.178
406	406	BERT-base	BADGE	110	0.333	0.167
407	407	BERT-base	CAL	110	0.333	0.167
408	408	BERT-large	CAL	110	0.340	0.181
409	409	BERT-base	CAL	110	0.333	0.167
410	410	RoBERTa-base	CAL	110	0.333	0.167
411	411	RoBERTa-base	ALPS	110	0.369	0.246
412	412	RoBERTa-large	bertKM	110	0.333	0.167
413	413	BERT-base	CAL	110	0.333	0.167
414	414	RoBERTa-base	CAL	110	0.356	0.221
415	415	BERT-base	ALPS	110	0.333	0.167
416	416	RoBERTa-base	bertKM	110	0.344	0.193
417	417	DeBERTa-large	CAL	110	0.333	0.167
418	418	BERT-base	CAL	110	0.333	0.167
419	419	DeBERTa-large	CAL	110	0.336	0.171
420	420	BERT-base	Density	110	0.333	0.167
421	421	BERT-base	bertKM	110	0.333	0.167
422	422	RoBERTa-base	Density	110	0.333	0.167
423	423	RoBERTa-base	CAL	110	0.353	0.213
424	424	DeBERTa-base	bertKM	110	0.333	0.167
425	425	BERT-base	CAL	110	0.333	0.167
426	426	DeBERTa-large	CAL	110	0.349	0.198
427	427	DeBERTa-base	CAL	110	0.333	0.167
428	428	BERT-large	CAL	110	0.333	0.167
429	429	DeBERTa-large	CAL	110	0.369	0.235
430	430	RoBERTa-large	CAL	110	0.333	0.167
431	431	RoBERTa-base	CAL	110	0.391	0.285
432	432	DeBERTa-large	CAL	110	0.336	0.171
433	433	DeBERTa-base	CAL	110	0.333	0.167
434	434	RoBERTa-base	CAL	110	0.387	0.275
435	435	BERT-large	CAL	110	0.336	0.187
436	436	BERT-large	CAL	110	0.338	0.181
437	437	RoBERTa-large	Entropy	110	0.336	0.171
438	438	BERT-base	CAL	110	0.333	0.167
439	439	BERT-base	CAL	110	0.333	0.167
440	440	DeBERTa-large	Density	110	0.333	0.167
441	441	DeBERTa-large	bertKM	110	0.344	0.190
442	442	RoBERTa-base	CAL	110	0.378	0.261
443	443	BERT-large	CAL	110	0.333	0.167
444	444	RoBERTa-large	CAL	110	0.331	0.166
445	445	BERT-large	bertKM	110	0.333	0.167
446	446	BERT-large	Entropy	110	0.333	0.167
447	447	DeBERTa-large	CAL	110	0.333	0.167
448	448	RoBERTa-base	CAL	110	0.347	0.195
449	449	RoBERTa-large	CAL	110	0.333	0.167
450	450	DeBERTa-base	CAL	120	0.333	0.167
451	451	DeBERTa-large	CAL	120	0.360	0.221
452	452	DeBERTa-large	Entropy	120	0.533	0.468
453	453	RoBERTa-large	CAL	120	0.333	0.167
454	454	BERT-base	CAL	120	0.333	0.167
455	455	RoBERTa-base	CAL	120	0.362	0.243
456	456	DeBERTa-large	CAL	120	0.347	0.196
457	457	DeBERTa-base	Density	120	0.333	0.167
458	458	BERT-base	CAL	120	0.333	0.167
459	459	DeBERTa-large	CAL	120	0.356	0.214
460	460	DeBERTa-large	CAL	120	0.373	0.242
461	461	DeBERTa-base	CAL	120	0.333	0.167
462	462	BERT-large	CAL	120	0.338	0.176
463	463	BERT-large	CAL	120	0.342	0.186
464	464	BERT-large	bertKM	120	0.342	0.185
465	465	BERT-base	CAL	120	0.331	0.166
