	Unnamed: 0	Model	Strategy	Instance	Acc	F1	Unnamed: 0.1
345	345	DeBERTa-base	CAL	100	0.404	0.326	
346	346	DeBERTa-large	Entropy	100	0.420	0.338	
347	347	DeBERTa-large	CAL	100	0.404	0.318	
348	348	DeBERTa-large	BADGE	100	0.484	0.403	
349	349	DeBERTa-large	CAL	100	0.529	0.506	
350	350	DeBERTa-large	CAL	100	0.504	0.477	
351	351	DeBERTa-large	CAL	100	0.518	0.485	
352	352	DeBERTa-large	CAL	100	0.342	0.189	
353	353	DeBERTa-large	ALPS	100	0.440	0.391	
354	354	DeBERTa-large	CAL	100	0.484	0.454	
355	355	DeBERTa-large	Density	100	0.336	0.172	
356	356	DeBERTa-large	CAL	100	0.398	0.312	
357	357	DeBERTa-large	CAL	100	0.391	0.301	
358	358	DeBERTa-large	CAL	100	0.433	0.364	
359	359	DeBERTa-large	bertKM	100	0.571	0.571	
360	360	BERT-base	CAL	110	0.318	0.176	
361	361	BERT-large	CAL	110	0.409	0.356	
362	362	DeBERTa-base	CAL	110	0.387	0.295	
363	363	DeBERTa-base	CAL	110	0.376	0.285	
364	364	DeBERTa-large	CAL	110	0.502	0.454	
365	365	RoBERTa-large	CAL	110	0.380	0.269	
366	366	DeBERTa-base	ALPS	110	0.427	0.373	
367	367	DeBERTa-base	CAL	110	0.422	0.344	
368	368	RoBERTa-base	BADGE	110	0.427	0.412	
369	369	DeBERTa-large	Entropy	110	0.436	0.365	
370	370	RoBERTa-large	Density	110	0.324	0.170	
371	371	DeBERTa-base	Density	110	0.329	0.165	
372	372	DeBERTa-base	BADGE	110	0.427	0.357	
373	373	DeBERTa-large	CAL	110	0.336	0.248	
374	374	DeBERTa-large	CAL	110	0.556	0.548	
375	375	RoBERTa-large	ALPS	110	0.360	0.252	
376	376	RoBERTa-large	CAL	110	0.447	0.371	
377	377	DeBERTa-base	Entropy	110	0.396	0.304	
378	378	RoBERTa-large	CAL	110	0.449	0.390	
379	379	RoBERTa-base	CAL	110	0.464	0.431	
380	380	BERT-base	CAL	110	0.331	0.212	
381	381	BERT-large	CAL	110	0.356	0.246	
382	382	RoBERTa-large	CAL	110	0.522	0.518	
383	383	BERT-large	CAL	110	0.400	0.309	
384	384	BERT-large	CAL	110	0.384	0.286	
385	385	DeBERTa-base	CAL	110	0.382	0.305	
386	386	DeBERTa-large	BADGE	110	0.480	0.408	
387	387	BERT-large	BADGE	110	0.378	0.286	
388	388	DeBERTa-base	CAL	110	0.407	0.339	
389	389	RoBERTa-large	CAL	110	0.431	0.383	
390	390	BERT-large	Density	110	0.344	0.209	
391	391	DeBERTa-large	ALPS	110	0.493	0.468	
392	392	RoBERTa-large	CAL	110	0.411	0.356	
393	393	BERT-base	CAL	110	0.389	0.304	
394	394	RoBERTa-large	BADGE	110	0.449	0.385	
395	395	DeBERTa-base	CAL	110	0.369	0.263	
396	396	RoBERTa-large	CAL	110	0.467	0.382	
397	397	BERT-base	Entropy	110	0.340	0.188	
398	398	RoBERTa-base	CAL	110	0.418	0.393	
399	399	RoBERTa-base	CAL	110	0.433	0.354	
400	400	RoBERTa-base	Entropy	110	0.422	0.380	
401	401	BERT-large	CAL	110	0.409	0.325	
